agency_cd,site_no,datetime,discharge-cuft
USGS,9058000,10/6/11,1230
USGS,9058000,10/7/11,1230
USGS,9058000,10/8/11,1220
USGS,9058000,10/9/11,1230
USGS,9058000,10/10/11,1220
USGS,9058000,10/11/11,1230
USGS,9058000,10/12/11,1210
USGS,9058000,10/13/11,1070
USGS,9058000,10/14/11,981
USGS,9058000,10/15/11,1000
USGS,9058000,10/16/11,1000
USGS,9058000,10/17/11,1030
USGS,9058000,10/18/11,1030
USGS,9058000,10/19/11,1020
USGS,9058000,10/20/11,1020
USGS,9058000,10/21/11,1030
USGS,9058000,10/22/11,1020
USGS,9058000,10/23/11,1050
USGS,9058000,10/24/11,1050
USGS,9058000,10/25/11,1070
USGS,9058000,10/26/11,1180
USGS,9058000,10/27/11,1150
USGS,9058000,10/28/11,1090
USGS,9058000,10/29/11,981
USGS,9058000,10/30/11,861
USGS,9058000,10/31/11,772
USGS,9058000,11/1/11,670
USGS,9058000,11/2/11,606
USGS,9058000,11/3/11,581
USGS,9058000,11/4/11,555
USGS,9058000,11/5/11,570
USGS,9058000,11/6/11,570
USGS,9058000,11/7/11,549
USGS,9058000,11/8/11,552
USGS,9058000,11/9/11,575
USGS,9058000,11/10/11,549
USGS,9058000,11/11/11,536
USGS,9058000,11/12/11,583
USGS,9058000,11/13/11,616
USGS,9058000,11/14/11,603
USGS,9058000,11/15/11,581
USGS,9058000,11/16/11,552
USGS,9058000,11/17/11,479
USGS,9058000,11/18/11,459
USGS,9058000,11/19/11,476
USGS,9058000,11/20/11,459
USGS,9058000,11/21/11,449
USGS,9058000,11/22/11,444
USGS,9058000,11/23/11,439
USGS,9058000,11/24/11,445
USGS,9058000,11/25/11,450
USGS,9058000,11/26/11,430
USGS,9058000,11/27/11,408
USGS,9058000,11/28/11,440
USGS,9058000,11/29/11,434
USGS,9058000,11/30/11,426
USGS,9058000,12/1/11,435
USGS,9058000,12/2/11,403
USGS,9058000,12/3/11,396
USGS,9058000,12/4/11,408
USGS,9058000,12/5/11,404
USGS,9058000,12/6/11,400
USGS,9058000,12/7/11,400
USGS,9058000,12/8/11,396
USGS,9058000,12/9/11,391
USGS,9058000,12/10/11,396
USGS,9058000,12/11/11,391
USGS,9058000,12/12/11,388
USGS,9058000,12/13/11,390
USGS,9058000,12/14/11,388
USGS,9058000,12/15/11,391
USGS,9058000,12/16/11,396
USGS,9058000,12/17/11,400
USGS,9058000,12/18/11,403
USGS,9058000,12/19/11,412
USGS,9058000,12/20/11,419
USGS,9058000,12/21/11,428
USGS,9058000,12/22/11,427
USGS,9058000,12/23/11,428
USGS,9058000,12/24/11,428
USGS,9058000,12/25/11,428
USGS,9058000,12/26/11,428
USGS,9058000,12/27/11,423
USGS,9058000,12/28/11,423
USGS,9058000,12/29/11,423
USGS,9058000,12/30/11,427
USGS,9058000,12/31/11,418
USGS,9058000,1/1/12,418
USGS,9058000,1/2/12,409
USGS,9058000,1/3/12,404
USGS,9058000,1/4/12,409
USGS,9058000,1/5/12,404
USGS,9058000,1/6/12,404
USGS,9058000,1/7/12,399
USGS,9058000,1/8/12,399
USGS,9058000,1/9/12,399
USGS,9058000,1/10/12,389
USGS,9058000,1/11/12,374
USGS,9058000,1/12/12,364
USGS,9058000,1/13/12,351
USGS,9058000,1/14/12,333
USGS,9058000,1/15/12,321
USGS,9058000,1/16/12,314
USGS,9058000,1/17/12,318
USGS,9058000,1/18/12,317
USGS,9058000,1/19/12,317
USGS,9058000,1/20/12,317
USGS,9058000,1/21/12,317
USGS,9058000,1/22/12,317
USGS,9058000,1/23/12,317
USGS,9058000,1/24/12,317
USGS,9058000,1/25/12,317
USGS,9058000,1/26/12,315
USGS,9058000,1/27/12,319
USGS,9058000,1/28/12,319
USGS,9058000,1/29/12,319
USGS,9058000,1/30/12,319
USGS,9058000,1/31/12,319
USGS,9058000,2/1/12,320
USGS,9058000,2/2/12,320
USGS,9058000,2/3/12,320
USGS,9058000,2/4/12,320
USGS,9058000,2/5/12,319
USGS,9058000,2/6/12,318
USGS,9058000,2/7/12,319
USGS,9058000,2/8/12,316
USGS,9058000,2/9/12,314
USGS,9058000,2/10/12,312
USGS,9058000,2/11/12,313
USGS,9058000,2/12/12,312
USGS,9058000,2/13/12,314
USGS,9058000,2/14/12,314
USGS,9058000,2/15/12,314
USGS,9058000,2/16/12,314
USGS,9058000,2/17/12,315
USGS,9058000,2/18/12,314
USGS,9058000,2/19/12,315
USGS,9058000,2/20/12,316
USGS,9058000,2/21/12,317
USGS,9058000,2/22/12,317
USGS,9058000,2/23/12,319
USGS,9058000,2/24/12,322
USGS,9058000,2/25/12,323
USGS,9058000,2/26/12,323
USGS,9058000,2/27/12,323
USGS,9058000,2/28/12,323
USGS,9058000,2/29/12,328
USGS,9058000,3/1/12,329
USGS,9058000,3/2/12,335
USGS,9058000,3/3/12,338
USGS,9058000,3/4/12,344
USGS,9058000,3/5/12,353
USGS,9058000,3/6/12,366
USGS,9058000,3/7/12,397
USGS,9058000,3/8/12,396
USGS,9058000,3/9/12,405
USGS,9058000,3/10/12,447
USGS,9058000,3/11/12,472
USGS,9058000,3/12/12,510
USGS,9058000,3/13/12,534
USGS,9058000,3/14/12,563
USGS,9058000,3/15/12,581
USGS,9058000,3/16/12,593
USGS,9058000,3/17/12,627
USGS,9058000,3/18/12,657
USGS,9058000,3/19/12,639
USGS,9058000,3/20/12,610
USGS,9058000,3/21/12,601
USGS,9058000,3/22/12,565
USGS,9058000,3/23/12,589
USGS,9058000,3/24/12,602
USGS,9058000,3/25/12,606
USGS,9058000,3/26/12,616
USGS,9058000,3/27/12,609
USGS,9058000,3/28/12,569
USGS,9058000,3/29/12,559
USGS,9058000,3/30/12,555
USGS,9058000,3/31/12,540
USGS,9058000,4/1/12,574
USGS,9058000,4/2/12,605
USGS,9058000,4/3/12,583
USGS,9058000,4/4/12,425
USGS,9058000,4/5/12,378
