ID,Citation,Site_Name,Drainage area (km^2),tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
1148,"Monsalve and Silva, 1983; Kleinhans and van den Berg, 2011","Sinu at Sabananeuva-Cano Viega, Colombia",,1.5152,0.0002,0.0004,140,5,1200
1149,"Monsalve and Silva, 1983; Kleinhans and van den Berg, 2011","Sinu at Tierralta-Guasimal, Colombia",,0.1207,0.0003,0.00452,145,3,980
1150,"Monsalve and Silva, 1983; Kleinhans and van den Berg, 2011","Sinu at Urra dam-Tierralta, Colombia",,0.176,0.0006,0.0062,160,3,830
1151,"Moody et al., 2003","RIO GRANDE BLW TAOS JUNCTION BRIDGE NEAR TAOS, NM",25200.6,,0.001,,35.57,1.1,82.12
1152,"Moody et al., 2003","RIO MORA NEAR TERRERO, NM",137.79,,0.012,,10.06,0.46,5.15
1153,"Moody et al., 2003","SAN PEDRO RIVER AT CHARLESTON, AZ.",92.2,,0.001,,35.51,1.01,59.47
1154,"Moody et al., 2003","VERDE RIVER NEAR CLARKDALE, AZ",104.12,,0.009,,37.7,0.94,67.96
1155,"Moody et al., 2003","WEST CLEAR CREEK NEAR CAMP VERDE, AZ",75.11,,0.013,,31.09,1.16,72.94
1156,"Mueller et al., 2005","St. Louis Creek nr Fraser, CO",,0.0053,0.0018,0.076,3.4,0.37,3.4
1157,"Mueller et al., 2005","Wind River at Riverton, WY",,0.046,0.001,0.022,41.6,1.67,142
1158,"Mueller et al., 2005; Jones and Seitz, 1980","CLEARWATER RIVER AT SPALDING, ID",,0.0129,0.0003,0.074,142.5,5.27,2210
1159,"Mueller et al., 2005; Jones and Seitz, 1980","SNAKE RIVER NEAR ANATONE, WA",,0.0575,0.001,0.054,187,5.12,2607
1160,"Mulvihill et al., 2009","Albright Creek at East Homer, NY",17.64,0.0764,0.018,0.07112,9.88,0.5,8.47
1161,"Mulvihill et al., 2009","Batten Kill below Mill at Battenville, NY",1025.64,0.0329,0.001,0.039116,59.44,2.12,178.96
1162,"Mulvihill et al., 2009","Biscuit Brook above Pigeon Brook at Frost Valley, NY",9.63,0.0503,0.021,0.133688667,10.96,0.53,7.67
1163,"Mulvihill et al., 2009","Buck Creek near Inlet, NY",3.32,0.2065,0.033,0.047244,4.83,0.49,2.24
1164,"Mulvihill et al., 2009","Bushnellsville, Creek at Shandaken, NY",29.53,0.083,0.018,0.086106,10.9,0.66,8.41
1165,"Mulvihill et al., 2009","Butternut Creek at Morris, NY",83.4,0.0121,0.001,0.061214,20.23,1.22,29.17
1166,"Mulvihill et al., 2009","Catherine Creek at Montour Falls, NY",106.45,0.0938,0.0074,0.04018,18.48,0.84,32.6
1167,"Mulvihill et al., 2009","Cayuga Creek near Lancaster, NY",249.68,0.0162,0.002,0.0896,42.43,1.2,89.2
1168,"Mulvihill et al., 2009","Cayuga Inlet neat Ithaca, NY",91.17,0.0666,0.004,0.0352,17.07,0.97,22.5
1169,"Mulvihill et al., 2009","Cazenovia Creek at Ebenezer, NY",349.65,0.0429,0.001,0.0207,52.63,1.47,181.2
1170,"Mulvihill et al., 2009","Cold Spring Brook at China, NY",3.86,0.088,0.02,0.037084,5.18,0.27,1.47
1171,"Mulvihill et al., 2009","Conewango Creek at Waterboro, NY",751.1,0.0219,0.002,0.0554,46.63,1,79.9
1172,"Mulvihill et al., 2009","East Branch Au Sable River at Au Sable Forks, NY",512.82,0.0334,0.002,0.055372,54.1,1.52,182.36
1173,"Mulvihill et al., 2009",East Branch Neversink River at Denning,23.13,0.0301,0.01,0.147066,21.7,0.73,56.07
1174,"Mulvihill et al., 2009","East Branch of Delaware River at Margaretville, NY",422.17,0.015,0.001,0.061468,45.59,1.52,114.68
1175,"Mulvihill et al., 2009","Esopus Creek at Allaben, NY",164.98,0.0531,0.008,0.119634,24.52,1.31,78.44
1176,"Mulvihill et al., 2009","Fishkill Creek at Hopewell Junction, NY",148.41,0.1228,0.001,0.007874,20.14,1.6,31.43
1177,"Mulvihill et al., 2009","Fivemile Creek near Kanona, NY",173.01,0.0158,0.0035,0.09055,25.78,0.67,37.7
1178,"Mulvihill et al., 2009","Flint Creek at Phelps, NY",264.18,0.2394,0.01,0.027,24.13,1.07,48.7
1179,"Mulvihill et al., 2009","Glowegee Creek at West Milton, NY",67.34,2.9091,0.001,0.000254,15.16,1.22,14.36
1180,"Mulvihill et al., 2009","Hopkinton Brook at Hopkinton, NY",51.8,0.0934,0.014,0.068326,20.45,0.75,15.57
1181,"Mulvihill et al., 2009","Irondequoit Creek at Railroad Mills near Fischers, NY",101.53,0.1835,0.003,0.0109,15.68,1.1,12.3
1182,"Mulvihill et al., 2009","Ischua Creek Tributary near Machias, NY",13.26,1.3545,0.002,0.00065,11.55,0.58,2.5
1183,"Mulvihill et al., 2009","Kisco River below Mount Kisco, NY",45.58,0.0511,0.009,0.103124,15.92,0.97,17.36
1184,"Mulvihill et al., 2009","Little Elk Creek at Westford, NY",9.66,0.0529,0.017,0.075184,4.92,0.39,1.93
1185,"Mulvihill et al., 2009","Little Hoosic River at Petersburg, NY",145.3,0.0462,0.004,0.065532,25.51,1.25,70.79
1186,"Mulvihill et al., 2009","Little Tonawanda Creek at Linden, NY",57.24,0.0265,0.001,0.0183,16.83,0.8,9.9
1187,"Mulvihill et al., 2009","Little Tonawanda Creek Tributary near Batavia, NY",2.64,8.0808,0.003,0.00006,6.7,0.27,1.1
1188,"Mulvihill et al., 2009","Merrill Creek Tributary near Texas Valley, NY",13.78,0.0403,0.009,0.063246,11.64,0.47,7.39
1189,"Mulvihill et al., 2009","Mink Creek at Richfield Springs, NY",26.94,0.0189,0.005,0.099822,12.41,0.62,7.65
1190,"Mulvihill et al., 2009","Moose River at McKeever, NY",940.17,0.0855,0.001,0.019812,68.99,2.79,182.36
1191,"Mulvihill et al., 2009","North Branch of Foulertons Brook at Roseland, NJ",108.78,0.1446,0.02,0.040894,4.65,0.49,2.04
1192,"Mulvihill et al., 2009","North Creek near Ephratah, NY",16.89,0.1958,0.019,0.032258,17.22,0.55,2.83
1193,"Mulvihill et al., 2009","Northrup Creek at North Greece, NY",26.16,0.0512,0.006,0.0545,11.43,0.77,12.4
1194,"Mulvihill et al., 2009","Otselic River near Upper Lisle, NY",562.03,0.0372,0.002,0.058674,53.48,1.8,136.77
1195,"Mulvihill et al., 2009","Plum Brook near Grantville, NY",113.7,0.0319,0.002,0.04572,18.26,1.2,19.2
1196,"Mulvihill et al., 2009","Roeliff Jansen Kill near Hillsdale, NY",71.22,0.1596,0.005,0.020066,17.33,1.06,19.54
1197,"Mulvihill et al., 2009","Sage Brook near South New Berlin, NY",1.81,0.1614,0.035,0.028702,3.37,0.22,0.82
1198,"Mulvihill et al., 2009","Schoharie Creek at Prattsville, NY",613.83,0.0207,0.002,0.102616,97.55,1.75,236.16
1199,"Mulvihill et al., 2009","Shackham Brook near Truxton, NY",7.64,0.0685,0.014,0.043688,8.01,0.35,4.93
1200,"Mulvihill et al., 2009","Steele Creek at Ilion, NY",67.86,0.1437,0.011,0.049022,14.68,1.06,9.74
1201,"Mulvihill et al., 2009","Stony Brook near Dover Plains, NY",5,0.4649,0.052,0.045974,11.38,0.68,2.49
1202,"Mulvihill et al., 2009","Stony Brook Tributary at South Dansville, NY",8.16,0.0684,0.014,0.0372,8.3,0.3,4.4
1203,"Mulvihill et al., 2009","Tonawanda Creek at Rapids, NY",903.91,0.0681,0.001,0.0184,57.2,2.07,117.2
1204,"Mulvihill et al., 2009","Tributary to Mill Creek Tributary near Lowville, NY",4.3,0.1476,0.023,0.025908,10.17,0.27,4.25
1205,"Mulvihill et al., 2009","Trout Creek near Trout Creek, NY",52.32,0.048,0.005,0.053848,16.48,0.85,17.84
1206,"Mulvihill et al., 2009","Valley Brook near Morehouseville, NY",8.5,0.0463,0.025,0.147066,10.71,0.45,3.77
1207,"Mulvihill et al., 2009","West Branch Au Sable River near Lake Placid, NY",300.44,0.6333,0.001,0.002032,35.56,2.12,87.78
1208,"Mulvihill et al., 2006",IRONDEQUOIT CR ABOVE BLOSSOM RD NEAR ROCHESTER NY,367.78,0.2497,0.003,0.010922,19,1.5,29.73
1209,"Mulvihill et al., 2009",BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,9.63,0.0505,0.021,0.13369,10.96,0.53,7.67
1210,"Mulvihill et al., 2009","Bouquet River at Willsboro, NY",699.3,0.0254,0.003,0.122174,49.15,1.71,175.56
1211,"Mulvihill et al., 2009",BUSHNELLSVILLE CR AT SHANDAKEN NY,29.53,0.0836,0.018,0.08611,10.9,0.66,8.41
1212,"Mulvihill et al., 2009","Chestnut Creek at Grahamsville, NY",54.13,0.0847,0.012,0.068072,20.86,0.79,34.83
1213,"Mulvihill et al., 2009",ESOPUS CREEK AT ALLABEN NY,164.98,0.0531,0.008,0.11963,24.52,1.31,78.44
1214,"Mulvihill et al., 2009","Esopus Creek at Cold Brook, NY",497.28,0.0361,0.005,0.15748,59.34,1.87,200.2
1215,"Mulvihill et al., 2009","Horse Pound Brook near Lake Carmel, NY",10.2,0.0879,0.009,0.034036,14.6,0.55,5.55
1216,"Mulvihill et al., 2009","Hunter Brook south of Yorktown, NY",19.22,0.0528,0.019,0.166116,16.75,0.76,19.23
1217,"Mulvihill et al., 2009","Independence River at Donnattsburg, NY",229.73,0.0469,0.005,0.086614,35.38,1.34,68.53
1218,"Mulvihill et al., 2009",KINDERHOOK CREEK AT ROSSMAN NY,852.11,0.0126,0.002,0.17094,45.11,1.77,159.71
1219,"Mulvihill et al., 2009","Mahwah River near Suffern, NY",31.86,0.0519,0.002,0.01905,13.11,0.82,9.17
1220,"Mulvihill et al., 2009","Manor Kill at West Conesville near Gilboa, NY",83.92,0.2193,0.01,0.213106,17.07,0.7,22.74
1221,"Mulvihill et al., 2009",NEVERSINK RIVER NEAR CLARYVILLE NY,172.49,0.0238,0.005,0.16307,31.15,1.28,118.36
1222,"Mulvihill et al., 2009","Platte Kill near Duraven, NY",90.39,0.053,0.01,0.087122,16.96,0.76,33.13
1223,"Mulvihill et al., 2009","Ramapo River at Ramap, NY",225.07,0.029,0.004,0.084074,33.26,1.01,60.03
1224,"Mulvihill et al., 2009",SANDY CREEK NEAR ADAMS NY,354.83,0.0272,0.002,0.07696,33.73,1.73,142.43
1225,"Mulvihill et al., 2009","Tenmile River near Gaylordsville, CT",525.77,0.038,0.002,0.058928,31.48,1.85,85.52
1226,"Mulvihill et al., 2009","Tremper Kill near Andes, NY",85.99,0.0412,0.01,0.103124,19.96,0.7,25.88
1227,"Mulvihill et al., 2009","Valatie Kill near Nassau, NY",24.55,0.0312,0.002,0.024892,11.75,0.64,6.43
1228,"Mulvihill et al., 2009","West Branch Delaware River at Walton, NY",859.88,0.0176,0.001,0.048768,74.22,1.42,188.02
1229,"Mulvihill et al., 2005",Ball Creek at Stow,23.47,0.0319,0.002,0.019,17.3,0.5,16.4
1230,"Mulvihill et al., 2005",Big Creek near Howard,16.37,0.0911,0.012,0.0559,7,0.7,8.5
1231,"Mulvihill et al., 2005",Butternut Creek near Jamesville,83.4,0.0299,0.005,0.0405,25.1,0.4,15.5
1232,"Mulvihill et al., 2005",Canandaigua Outlet Tributary near Alloway,7.61,12.1212,0.004,0.0001,4.6,0.5,2.2
1233,"Mulvihill et al., 2005",Catatonk Creek Northwest of Owego,391.09,0.0109,0.001,0.0558,74.7,1,104.8
1234,"Mulvihill et al., 2005",Cuthrie Run near Big Flats,13.96,0.0748,0.016,0.0648,10.1,0.5,7.5
1235,"Mulvihill et al., 2005",East Branch Allen Creek at Pittsford,24.6,0.3409,0.003,0.0048,7.6,0.9,3.4
1236,"Mulvihill et al., 2005",Second Creek Tributary at Alton,2.77,4.2424,0.007,0.0005,3.6,0.5,1.3
1237,"Mulvihill et al., 2005",OATKA CREEK AT GARBUTT NY,518,0.0232,0.003,0.07061,49.89,0.9,65.41
1238,"Naito, 2019, PhD thesis; Lauer et al. 2017 geomorphology; Naito and Parker, 2020","MINNESOTA RIVER NEAR JORDAN, MN",41957.84,2.2222,0.00022,0.0003,107,5,700
1239,"Nordin, 1963; Topping 1997; Nordin and Beverage, 1965; Griffin et al. 2014; Griffin et al., 2005","RIO PUERCO NEAR BERNARDO, NM",,4.5914,0.00125,0.00033,23,2,40
1240,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Big Salmon River near Carmacks,,0.0235,0.0014,0.049,104,1.36,255
1241,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Klondike River above Bonanza Creek,,0.0382,0.00159,0.05,87,1.98,354
1242,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Pelly River at Pelly Crossing,,0.0274,0.00056,0.057,242,4.6,2661
1243,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Stewart River at Mayo,,0.0332,0.00026,0.022,333,4.64,2280
1244,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Stewart River at Stewart Crossing,,0.0158,0.00032,0.052,356,4.24,2718
1245,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Wheaton River near Carcross,,0.033,0.0015,0.027,48,0.98,40
1246,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Yukon River above Frank Creek,,0.0835,0.0005,0.014,111,3.86,733
1247,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Yukon River at Carmacks,,0.0197,0.00047,0.067,311,4.63,2890
1248,"Northwest Hydraulic Consultants and Canada Dept. of Indian and Northern Affairs, 1975",Yukon River at Dawson,,0.0396,0.00056,0.058,493,6.77,9628
1249,"O'Connor et al., 2014","WILSON RIVER NEAR TILLAMOOK, OR",494,0.0122,0.000471,0.045,52,1.93,416.99
1250,"Oltman, 1968; Li et al., 2015",Amazon River at Obidos,,1.2758,0.00000875,0.0002,2286,48.12,216340.71
1251,"Padmanabhan and Johnson, 2010","ROSEAU RIVER BELOW STATE DITCH 51 NR CARIBOU, MN",3677.79,,0.00025,,26.7,1.89,35
1252,"Padmanabhan and Johnson, 2010","WILD RICE RIVER AT TWIN VALLEY, MN",2419.05,,0.0008,,22.77,1.1,23.42
1253,"Park, 2015 PhD thesis; slope from Lidar - open topography",RUSSIAN R NR GUERNEVILLE CA,3465.41,0.1451,0.0004,0.0071,138,4.25,875
1254,"Parker et al., 2003",Bear,,0.012007273,0.0025,0.155,34.024824,1.228344,60.31488324
1255,"Parker et al., 2003",Challis,,0.066213182,0.0186,0.096,7.65048,0.56388,5.861587245
1256,"Parker et al., 2003",Lapwai,,0.044524551,0.0074,0.07,11.59764,0.694944,16.14060256
1257,"Parker et al., 2003",Lemhi,,0.018534303,0.0043,0.108,21.500592,0.768096,25.48516193
1258,"Parker et al., 2003",LF Payette 1,,0.087427724,0.0068,0.05,27.29484,1.060704,33.98021591
1259,"Parker et al., 2003",LF Payette McCall,,0.165163234,0.0087,0.0325,27.2796,1.018032,33.98021591
1260,"Parker et al., 2003",Meadow,,0.107786311,0.0231,0.135,22.728936,1.039368,65.12874716
1261,"Parker et al., 2003",MF Salmon,,0.02470654,0.0055,0.1575,23.429976,1.167384,41.62576449
1262,"Parker et al., 2003",Napias,,0.040963905,0.0213,0.1095,8.805672,0.347472,4.247526989
1263,"Parker et al., 2003",NF Payette,,0.026157382,0.0059,0.155,34.058352,1.133856,56.63369318
1264,"Parker et al., 2003",Potlach,,0.029550636,0.0022,0.0645,47.75,1.43,186.9
1265,"Parker et al., 2003",Reeds,,0.032775581,0.0113,0.1675,13.47216,0.801624,24.918825
1266,"Parker et al., 2003",SF Clearwater Elk,,0.032025149,0.0053,0.107,23.664672,1.0668,43.89111222
1267,"Parker et al., 2003",SF Clearwater Stites,,0.01566067,0.0026,0.1055,59.8932,1.048512,116.099071
1268,"Parker et al., 2003",SF Salmon,,0.033496987,0.0019,0.0548,39.084504,1.594104,82.11885512
1269,"Parker et al., 2003",Wildhorse,,0.076258562,0.0158,0.1175,12.874752,0.935736,24.918825
1270,"Phillips and Scatena, 2012; Phillips and Jerolmack, 2014","RIO MAMEYES NR SABANA, PR",17.82,0.0658,0.013,0.152,22,1.27,34
1271,"Pitlick and Cress, 2000",Colorado River reach no. 1,,0.0534,0.0021,0.057,107,2.39,622.67
1272,"Pitlick and Cress, 2000",Colorado River reach no. 10,,0.0366,0.00034,0.028,168.8,4.97,1543.45
1273,"Pitlick and Cress, 2000",Colorado River reach no. 2,,0.0548,0.0015,0.052,77.5,3.14,579.53
1274,"Pitlick and Cress, 2000",Colorado River reach no. 3,,0.0444,0.00175,0.058,102,2.43,608.43
1275,"Pitlick and Cress, 2000",Colorado River reach no. 4,,0.043,0.0013,0.052,160.5,2.84,978.71
1276,"Pitlick and Cress, 2000",Colorado River reach no. 5,,0.0473,0.001,0.047,128.5,3.67,1020.76
1277,"Pitlick and Cress, 2000",Colorado River reach no. 6,,0.0459,0.00066,0.038,137.35,4.37,1319.62
1278,"Pitlick and Cress, 2000",Colorado River reach no. 8,,0.0611,0.00149,0.07,195.5,4.74,2928.89
1279,"Pitlick and Cress, 2000",Colorado River reach no. 9,,0.045,0.00047,0.034,127.05,5.37,1428.97
1280,"Pitlick and Cress, 2000",Colorado River reach no. 9,,0.0564,0.00098,0.063,103.05,5.99,2012.31
1281,"Pugh and Redman, 2019","ALUM FORK SALINE RIVER NEAR REFORM, AR",69.93,0.2321,0.007,0.0205,37.5,1.21,20
1282,"Pugh and Redman, 2019; estimated discharge from USGS data","KIAMICHI RIVER NEAR BIG CEDAR, OK",102.56,0.4738,0.004,0.0063,42.2,1.23,25
1283,"Rachol and Boley-Morse, 2009","Augusta Creek near Augusta, MI",100.75,0.0542,0.00201,0.01,7.5,0.45,2.27
1284,"Rachol and Boley-Morse, 2009","Belle River at Memphis, MI",391.09,0.169,0.00234,0.011,22.86,1.31,40.72
1285,"Rachol and Boley-Morse, 2009","Big Sable River near Freesoil, MI",328.93,1.6711,0.00088,0.00025,21.34,0.78,14.1
1286,"Rachol and Boley-Morse, 2009","Black River near Garnet, MI",72.52,0.0658,0.0179,0.095,10.94,0.58,10.34
1287,"Rachol and Boley-Morse, 2009","Cass River near Cass City, MI",929.81,0.0058,0.00065,0.078,31.67,1.16,35.28
1288,"Rachol and Boley-Morse, 2009","Coldwater River near Hodunk, MI",758.87,0.0371,0.0021,0.025,28.32,0.73,24.32
1289,"Rachol and Boley-Morse, 2009","Deer Creek near Dansville, MI",42.22,1.1381,0.00061,0.0003,8.29,0.92,4.56
1290,"Rachol and Boley-Morse, 2009","East Branch Pine River near Tustin, MI",155.4,0.1105,0.00687,0.031,10.73,0.82,11.75
1291,"Rachol and Boley-Morse, 2009","Flowerfield Creek near Flowerfield, MI",110.33,2.518,0.00238,0.00022,9.88,0.38,2.83
1292,"Rachol and Boley-Morse, 2009","Galien River near Sawyer, MI",209.01,1.8288,0.00045,0.00014,13.29,0.94,7.76
1293,"Rachol and Boley-Morse, 2009","Kalamazoo River near Marengo, MI",691.53,0.2853,0.00078,0.001,34.5,0.6,18.09
1294,"Rachol and Boley-Morse, 2009","Looking Glass River near Eagle, MI",725.2,0.0223,0.00073,0.019,27.55,0.96,24
1295,"Rachol and Boley-Morse, 2009","Middle Branch Black River near South Haven,",214.97,4.2292,0.00065,0.00009,15.12,0.97,10.7
1296,"Rachol and Boley-Morse, 2009","Middle Branch Ontonagon River near Paulding,",424.76,0.0723,0.00302,0.021,21.4,0.83,22.4
1297,"Rachol and Boley-Morse, 2009","Mill Creek near Avoca, MI",437.71,0.1036,0.00022,0.002,21.34,1.55,22.06
1298,"Rachol and Boley-Morse, 2009",North Branch Clinton River at 33 Mile Road n,128.72,0.0232,0.00195,0.021,15.76,0.41,5.3
1299,"Rachol and Boley-Morse, 2009","North Branch Clinton River near Meade, MI",232.06,0.1712,0.00162,0.009,18.41,1.57,34.66
1300,"Rachol and Boley-Morse, 2009","North Branch Pentwater River near Pentwater,",109.56,1.1066,0.00068,0.00021,15.24,0.56,5.49
1301,"Rachol and Boley-Morse, 2009","Pigeon River at Afton, MI",360.01,0.0576,0.00318,0.026,13.11,0.78,11.13
1302,"Rachol and Boley-Morse, 2009",Pine River at High School Bridge near Hoxeyv,634.55,0.5327,0.00259,0.003,19.63,1.02,24.95
1303,"Rachol and Boley-Morse, 2009","Portage River at Tiplady Road near Pinckney,",204.87,0.4983,0.0005,0.00038,8.38,0.62,2.61
1304,"Rachol and Boley-Morse, 2009","Portage River at W Avenue near Vicksburg, MI",176.64,0.1346,0.00047,0.001,15.82,0.47,4.08
1305,"Rachol and Boley-Morse, 2009","Prairie River near Nottawa, MI",274.54,0.4707,0.00049,0.00025,23.47,0.4,5.47
1306,"Rachol and Boley-Morse, 2009","Rabbit River near Hopkins, MI",184.93,1.2189,0.00056,0.00023,12.62,0.83,6.6
1307,"Rachol and Boley-Morse, 2009","Red Cedar River near Williamston, MI",422.17,0.6681,0.00035,0.00027,15,0.85,7.39
1308,"Rachol and Boley-Morse, 2009","Sashabaw Creek near Drayton Plains, MI",54.13,0.0444,0.00069,0.005,7.32,0.53,1.95
1309,"Rachol and Boley-Morse, 2009","South Branch Au Sable River near Luzerne, MI",1038.59,0.0305,0.00155,0.021,26.61,0.68,18.7
1310,"Rachol and Boley-Morse, 2009","South Branch Flint River near Columbiaville,",572.39,0.0252,0.00032,0.006,23.38,0.78,11.41
1311,"Rachol and Boley-Morse, 2009","South Branch Hog Creek near Allen, MI",126.13,0.0063,0.00024,0.009,19.2,0.39,3.28
1312,"Rachol and Boley-Morse, 2009","St. Joseph River at Burlington, MI",533.54,0.0214,0.00079,0.013,21.95,0.58,9.66
1313,"Rachol and Boley-Morse, 2009","St. Joseph River at Clarendon, MI",372.96,0.1926,0.00033,0.00075,22.28,0.72,9.8
1314,"Rachol and Boley-Morse, 2009","St. Joseph River near Burlington, MI",520.59,0.3566,0.0004,0.00063,27.22,0.93,18.72
1315,"Rachol and Boley-Morse, 2009","Stony Creek near Romeo, MI",66.3,0.0723,0.00482,0.017,12.31,0.42,5.3
1316,"Rachol and Boley-Morse, 2009","Sturgeon River near Wolverine, MI",512.82,0.0588,0.00396,0.029,16.46,0.71,14.22
1317,"Rachol and Boley-Morse, 2009","Thornapple River near Hastings, MI",997.15,0.0462,0.0017,0.03,56.97,1.34,125.02
1318,"Rachol and Boley-Morse, 2009","Wanadoga Creek near Battle Creek, MI",125.1,0.19,0.00006,0.00007,16.92,0.37,1.67
1319,"Rachol and Boley-Morse, 2009","West Branch Stony Creek near Washington, MI",58.27,0.089,0.00503,0.012,7.83,0.35,2.35
1320,"Schumm, 1960; Li et al., 2015","Arikaree River at Haigler, NE",3781.39,4.4335,0.002,0.00025,20.73,0.91,99.11
1321,"Schumm, 1960; Li et al., 2015","Frenchman Creek at Hamlet, NE",3833.19,5.7813,0.0013,0.00027,10.97,1.98,24.07
1322,"Schumm, 1960; Li et al., 2015","Greybull River near Basin, WY",2926.69,1.718,0.0015,0.0005,40.84,0.94,88.91
1323,"Schumm, 1960; Li et al., 2015","Middle Fork Powder River near Kaycee, WY",1165.5,3.048,0.0015,0.0004,14.33,1.34,46.16
1324,"Schumm, 1960; Li et al., 2015","Owl Creek near Thermopolis, WY",1253.56,5.146,0.0015,0.00021,10.67,1.19,16.57
1325,"Schumm, 1960; Li et al., 2015","Paradise Creek near Paradise, KS",549.08,2.8817,0.001,0.0005,9.75,2.38,36.81
1326,"Schumm, 1960; Li et al., 2015","Republican River near Benkleman, NE",12354.25,5.5418,0.003,0.00025,37.49,0.76,61.59
1327,"Schumm, 1960; Li et al., 2015","South Fork Republican River near Benkleman, NE",6682.17,1.7703,0.002,0.00048,30.48,0.7,127.43
1328,"Schumm, 1960; Li et al., 2015","South Loup River near Cumro, NE",3470.59,16.1821,0.003,0.00025,43.59,2.23,58.9
1329,"Schumm, 1960; Li et al., 2015","White River at Interior, SD",,4.2857,0.002,0.0005,89.31,1.77,308.65
1330,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Carrathool, New South Wales, Australia)",,0.4051,0.000133,0.0013,64.92,6.55,453.07
1331,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Currawarna, New South Wales, Australia)",,0.6201,0.000115,0.00063,76.81,5.67,396.44
1332,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Darlington Point, New South Wales, Australia)",,0.577,0.000133,0.00071,67.06,5.1,311.49
1333,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Hay, New South Wales, Australia)",,0.4834,0.000115,0.00095,74.68,6.67,566.34
1334,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Maude, New South Wales, Australia)",,0.5089,0.000076,0.00057,50.29,6.32,254.85
1335,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Narrandera, New South Wales, Australia)",,0.8222,0.00021,0.0009,74.98,5.86,566.34
1336,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Wantabadgery, New South Wales, Australia)",,0.8166,0.00028,0.00088,73.46,4.17,368.12
1337,"Schumm, 1960; Li et al., 2015","Murrumbidgee River (Yarrada Lagoon, New South Wales, Australia)",,0.7208,0.000133,0.00052,70.1,4.66,283.17
1338,"Sherwood and Huitger, 2005","Beaver Creek near Springfield, OH",101.53,0.0808,0.0017,0.01562,15.91,1.23,19.51
1339,"Sherwood and Huitger, 2005",Big Creek at McClure,46.88,0.2643,0.00161,0.0048,13.1,1.3,
1340,"Sherwood and Huitger, 2005","Big Four Hollow Creek near Lake Hope, OH",2.62,0.1414,0.0091,0.01343,6.55,0.34,1.53
1341,"Sherwood and Huitger, 2005",Blake Run near Reily,0.75,0.0693,0.01472,0.03863,4.2,0.3,1.3
1342,"Sherwood and Huitger, 2005",Bull Creek,8.11,0.2468,0.0059,0.01241,6.64,0.86,5.72
1343,"Sherwood and Huitger, 2005",Chagrin River at Fullertown,81.33,0.075,0.00751,0.06068,21,1,
1344,"Sherwood and Huitger, 2005",Clear Creek near Rockbridge,230.51,0.0452,0.00111,0.03123,21.9,2.1,77.3
1345,"Sherwood and Huitger, 2005",Crooked Creek at Alma,20.75,0.0806,0.00735,0.05527,25.9,1,
1346,"Sherwood and Huitger, 2005",Dry Run near Bangs,1.29,0.0827,0.01267,0.02785,4.7,0.3,
1347,"Sherwood and Huitger, 2005",Eagle Creek at Phalanx Station,252.78,0.1012,0.0005,0.00416,33.31,1.39,34.55
1348,"Sherwood and Huitger, 2005",Etna Creek,2.85,0.1206,0.0078,0.01517,4.51,0.39,1.47
1349,"Sherwood and Huitger, 2005",Gallman Creek near Monticello,4.92,0.1147,0.00198,0.00523,5.2,0.5,
1350,"Sherwood and Huitger, 2005",Grand River near Painesville,1774.14,0.0089,0.00058,0.07493,96,1.9,300.2
1351,"Sherwood and Huitger, 2005",Hayden Run,2.69,0.0732,0.0025,0.0106,4.72,0.51,1.81
1352,"Sherwood and Huitger, 2005",Higgins Run near Higginsport,1.42,0.1933,0.05042,0.09486,12.1,0.6,20.1
1353,"Sherwood and Huitger, 2005",Hinkley Creek at Charlestown,20.33,0.0588,0.00157,0.01294,12.1,0.8,5
1354,"Sherwood and Huitger, 2005",Keith Fork at Keith,101.01,0.1303,0.00273,0.01143,12.8,0.9,
1355,"Sherwood and Huitger, 2005","Licking River near Newark, OH",1390.82,0.0287,0.0003,0.01471,75.59,2.32,291.66
1356,"Sherwood and Huitger, 2005",Little Mill Creek near Coshocton,10.41,0.1242,0.00598,0.02917,10.8,1,11
1357,"Sherwood and Huitger, 2005","Mill Creek near Berlin Center, OH",49.47,0.0408,0.0031,0.04505,11.37,0.98,14.16
